variable name,variable description,data type,values,filename
v525,Who else was mentioned?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 8.0, 9.0]",homeint_export
v526,People in the story?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 8.0, 9.0]",homeint_export
v527,What happened at the end?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 8.0, 9.0]",homeint_export
v528,Feel tense/'wound up'?,category,"[1.0, 2.0, 3.0, 4.0, 8.0, 9.0]",homeint_export
v529,Enjoy things used to?,category,"[1.0, 2.0, 3.0, 4.0, 8.0, 9.0]",homeint_export
v530,Get a sort of frightened feeling?,category,"[1.0, 2.0, 3.0, 4.0, 8.0, 9.0]",homeint_export
v531,Can laugh and see the funny side of things?,category,"[1.0, 2.0, 3.0, 4.0, 8.0, 9.0]",homeint_export
v532,Worrying thoughts through mind?,category,"[1.0, 2.0, 3.0, 4.0, 8.0, 9.0]",homeint_export
v533,Feel cheerful?,category,"[1.0, 2.0, 3.0, 4.0, 8.0, 9.0]",homeint_export
v534,Can sit at ease and feel relaxed?,category,"[1.0, 2.0, 3.0, 4.0, 8.0, 9.0]",homeint_export
v535,Feel slowed down?,category,"[1.0, 2.0, 3.0, 4.0, 8.0, 9.0]",homeint_export
v536,Get a sort of 'butterflies' feeling in the stomach?,category,"[1.0, 2.0, 3.0, 4.0, 8.0, 9.0]",homeint_export
v537,Lost interest in appearance?,category,"[1.0, 2.0, 3.0, 4.0, 8.0, 9.0]",homeint_export
v538,Feel restless?,category,"[1.0, 2.0, 3.0, 4.0, 8.0, 9.0]",homeint_export
v539,Look forward with enjoyment?,category,"[1.0, 2.0, 3.0, 4.0, 8.0, 9.0]",homeint_export
v540,Get sudden feelings of panic?,category,"[1.0, 2.0, 3.0, 4.0, 8.0, 9.0]",homeint_export
v541,Can enjoy a good book/TV/radio programme?,category,"[1.0, 2.0, 3.0, 4.0, 8.0, 9.0]",homeint_export
v542,Fallen in last year?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v543,Ever fallen?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v544,,numeric,0.0 to 7777.0,homeint_export
v545,How many times?,numeric,0.0 to 7777.0,homeint_export
v546,,string,,homeint_export
v547,,string,,homeint_export
v548,When - Fall 3?,string,,homeint_export
v549,When - Fall 4?,string,,homeint_export
v550,When - Fall 5?,string,,homeint_export
v551,When - Fall 6?,string,,homeint_export
v552,Most recent fall due to?,category,"[1.0, 2.0, 3.0, 7.0, 8.0, 9.0]",homeint_export
v553,Consent for balance test?,category,"[1.0, 2.0, 3.0]",homeint_export
v554,,string,,homeint_export
v555,Which is dominant leg?,category,"[1.0, 2.0]",homeint_export
v556,,numeric,0.0 to 7777.0,homeint_export
v557,,numeric,0.0 to 7777.0,homeint_export
v558,Consent for single chair rise test?,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v559,OUTCOME OF SINGLE CHAIR RISE,category,"[1.0, 2.0, 3.0]",homeint_export
v560,REASON NOT UNDERTAKING SINGLE CHAIR RISE TEST,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]",homeint_export
v561,Consent for 5 chair rise test?,category,"[1.0, 2.0, 8.0, 9.0]",homeint_export
v562,TIME TO COMPLETE 5 STANDS?,string,,homeint_export
v563,NUMBER OF STANDS IF LESS THAN 5?,category,"[2.0, 4.0]",homeint_export
v564,REASON TEST NOT COMPLETED,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 9.0]",homeint_export
v565,Problems with shopping/meals/housework/using phone/taking medications/looking af,category,"[1.0, 2.0, 9.0]",homeint_export
v566,Manage using telephone?,category,"[1.0, 2.0, 3.0, 4.0, 9.0]",homeint_export
v567,Manage with shopping?,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 8.0]",homeint_export
v568,Manage preparing meals?,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 8.0, 9.0]",homeint_export
v569,Able to prepare and cook a meal?,category,"[1.0, 2.0, 3.0, 9.0]",homeint_export
v570,Manage with housework?,category,"[1.0, 2.0, 3.0, 4.0, 8.0, 9.0]",homeint_export
v571,Able to do light/heavy cleaning?,category,"[1.0, 2.0, 3.0, 4.0, 9.0]",homeint_export
v572,Manage with laundry?,category,"[1.0, 2.0, 3.0, 4.0, 8.0, 9.0]",homeint_export
v573,Able to load washing machine/put things on line?,category,"[1.0, 2.0, 3.0, 9.0]",homeint_export
v574,Manage with walking?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 7.0, 8.0, 9.0]",homeint_export
v575,Use a walking stick/other aid?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 9.0]",homeint_export
v576,Able to get on bus?,category,"[1.0, 2.0, 3.0, 7.0, 8.0, 9.0]",homeint_export
v577,Able to go up and down stairs?,category,"[1.0, 2.0, 3.0, 7.0, 9.0]",homeint_export
v578,Manage with bathing/showering?,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 9.0]",homeint_export
v579,Manage with reaching to comb hair?,category,"[1.0, 2.0, 3.0, 4.0, 9.0]",homeint_export
v580,Able to reach overhead shelf?,category,"[1.0, 2.0, 3.0, 7.0, 9.0]",homeint_export
v581,Able to tie good knot in piece of string?,category,"[1.0, 2.0, 3.0, 7.0, 9.0]",homeint_export
v582,Manage with dressing/undressing?,category,"[1.0, 2.0, 3.0, 4.0, 9.0]",homeint_export
v583,Manage with getting to toilet on time?,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 9.0]",homeint_export
v584,Manage taking medicines?,category,"[1.0, 2.0, 3.0, 4.0, 9.0]",homeint_export
v585,Able to do household task such as making cup of tea?,category,"[1.0, 2.0, 3.0, 7.0, 9.0]",homeint_export
v586,Able to manage money?,category,"[1.0, 2.0, 3.0, 8.0, 9.0]",homeint_export
v587,Needed any help recently to check change?,category,"[1.0, 2.0, 8.0, 9.0]",homeint_export
v588,Able to follow TV programmes/movies and remember details?,category,"[1.0, 2.0, 3.0, 7.0, 8.0, 9.0]",homeint_export
v589,IF MEDICATION OR MONEY RATE IF PROBLEM PHYSICAL OR COGNITIVE,category,"[1.0, 2.0, 3.0]",homeint_export
v590,Who helps?,string,,homeint_export
v591,,string,,homeint_export
v592,Think need more help than getting?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v593,Visited by home help/meals on wheels/community nurse in last week?,category,"[1.0, 2.0, 8.0, 9.0]",homeint_export
v594,Number of visits home help?,category,"[0.0, 1.0, 2.0, 3.0, 7.0, 10.0, 14.0, 21.0, 888.0]",homeint_export
v595,Number of visits meals on wheels?,category,"[0.0, 1.0, 3.0, 5.0, 7.0]",homeint_export
v596,Number of visits community nurse?,category,"[0.0, 1.0, 2.0, 4.0, 7.0, 10.0, 28.0]",homeint_export
v597,Attend day centre/day hospital?,category,"[1.0, 2.0, 3.0, 4.0, 9.0]",homeint_export
v598,ESTABLISH DEGREE OF MOBILITY,category,"[1.0, 2.0, 3.0, 4.0]",homeint_export
v599,Adopted as a child?,category,"[1.0, 2.0, 9.0]",homeint_export
v600,"Twin, triplet or other multiple birth?",category,"[1.0, 2.0, 8.0, 9.0]",homeint_export
v601,Father still alive?,category,"[1.0, 2.0, 8.0, 9.0]",homeint_export
v602,Age of father,numeric,0.0 to 7777.0,homeint_export
v603,Father ever suffered from?,numeric,0 to 8,homeint_export
v604,Age father died,numeric,8.0 to 777.0,homeint_export
v605,Did father ever suffer from?,numeric,0 to 11,homeint_export
v606,Mother still alive?,category,"[1.0, 2.0, 8.0, 9.0]",homeint_export
v607,Age of mother,numeric,35.0 to 777.0,homeint_export
v608,Mother ever suffered from?,numeric,0 to 12,homeint_export
v609,Age mother died,numeric,22.0 to 777.0,homeint_export
v610,Did mother ever suffer from?,numeric,0 to 12,homeint_export
v611,Number of brothers,numeric,0.0 to 99.0,homeint_export
v612,Number of sisters,numeric,0.0 to 99.0,homeint_export
v613,Have any brothers/sisters ever suffered from,numeric,0 to 12,homeint_export
v614,Currently taking any medications/tablets/injections?,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v615,Number of prescribed drugs,numeric,0.0 to 777.0,homeint_export
v616,Number of vitamins/over counter drugs,numeric,0.0 to 777.0,homeint_export
v617,OBVIOUS EVIDENCE OF PARALYSIS/STROKE,category,"[1.0, 2.0, 3.0]",homeint_export
v618,OBVIOUS EVIDENCE OF OTHER PHYSICAL DISABILITY,category,"[1.0, 2.0, 3.0]",homeint_export
v619,LACK OF TEETH,category,"[1.0, 2.0, 3.0]",homeint_export
v620,HEARING PROBLEMS,category,"[1.0, 2.0, 3.0, 4.0]",homeint_export
v621,POOR/NO EYESIGHT,category,"[1.0, 2.0, 3.0, 4.0]",homeint_export
v622,STUTTERING,category,"[1.0, 2.0, 3.0]",homeint_export
v623,POOR GRASP OF LANGUAGE,category,"[1.0, 2.0, 3.0, 4.0]",homeint_export
v624,INTERVIEW CONDITIONS UNFAVOURABLE,category,"[1.0, 2.0]",homeint_export
v625,MEMORY DEFECT,category,"[1.0, 2.0, 3.0]",homeint_export
v626,CONFIDENCE IN DATA,category,"[1.0, 2.0, 3.0, 4.0]",homeint_export
v627,DOUBTFUL RELIABILITY BECAUSE,category,"[1.0, 2.0, 4.0, 9.0]",homeint_export
v628,,string,,homeint_export
v629,High blood pressure,category,"[1.0, 2.0, 9.0]",homeint_export
v630,Age?,category,13.0 to 87.0,homeint_export
v631,Still awaiting specialist investigation?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v632,Did/do you receive medication for high blood pressure?,category,"[1.0, 2.0, 7.0, 9.0, 45.0]",homeint_export
v633,Age?,category,1.0 to 87.0,homeint_export
v634,High blood pressure still uncontrolled?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v635,Stroke?,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 8.0, 9.0, 45.0]",homeint_export
v636,Age?,category,"[1.0, 9.0, 48.0, 54.0, 63.0, 75.0, 76.0, 82.0, 83.0]",homeint_export
v637,Meningitis or encephalitis?,category,"[1.0, 9.0]",homeint_export
v638,Age?,category,[],homeint_export
v639,Depression requiring treatment?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v640,Age?,numeric,10.0 to 777.0,homeint_export
v641,Other psychiatric illness?,category,"[1.0, 2.0, 9.0]",homeint_export
v642,Age?,category,"[15.0, 16.0, 18.0, 20.0, 53.0, 70.0]",homeint_export
v643,SPECIFY OTHER PSYCHIATRIC ILLNESS,string,,homeint_export
v644,Ever receive ECT treatment?,category,"[1.0, 2.0, 9.0]",homeint_export
v645,Benign growths (non cancer)?,category,"[1.0, 2.0, 9.0]",homeint_export
v646,Age?,numeric,9.0 to 7777.0,homeint_export
v648,Cancer?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v649,Age?,numeric,12.0 to 86.0,homeint_export
v651,Currently receiving cancer treatment/had any in last 6 months?,category,"[1.0, 2.0]",homeint_export
v652,Currently in remission?,category,"[1.0, 2.0]",homeint_export
v653,How long been in remission?,category,"[1.0, 2.0]",homeint_export
v654,Parkinson's disease?,category,"[1.0, 9.0]",homeint_export
v655,Age?,category,[],homeint_export
v656,Motor Neurone disease?,category,"[1.0, 9.0]",homeint_export
v657,Age?,category,[],homeint_export
v658,Multiple Sclerosis?,category,"[1.0, 9.0]",homeint_export
v659,Age?,category,[],homeint_export
v660,Ever had fits or epilepsy?,category,"[1.0, 2.0, 3.0, 8.0, 9.0]",homeint_export
v661,Age?,category,[0.75],homeint_export
v662,Operation on heart or heart valves?,category,"[1.0, 2.0, 9.0]",homeint_export
v663,What kind?,category,"[1.0, 2.0, 3.0, 4.0]",homeint_export
v664,Operation on blood vessels?,category,"[1.0, 2.0]",homeint_export
v665,What kind?,category,"[1.0, 2.0, 3.0, 4.0]",homeint_export
v666,Operation - pump/electrode/implant/pacemaker inserted?,category,"[1.0, 2.0]",homeint_export
v667,What kind?,category,"[1.0, 2.0, 3.0]",homeint_export
v668,Operation on eyes?,category,"[1.0, 2.0]",homeint_export
v669,What kind?,category,"[1.0, 2.0, 3.0, 4.0]",homeint_export
v670,Had metal splinter in eyes?,category,"[1.0, 2.0]",homeint_export
v671,Metal splinters in head/ears not removed?,category,"[1.0, 2.0]",homeint_export
v672,Had shrapnel anywhere?,category,"[1.0, 2.0]",homeint_export
v673,Had new joints/metal plates/pins or rods/metal mesh?,category,"[1.0, 2.0]",homeint_export
v674,New hip/knee/digit joint replacement?,category,"[1.0, 2.0]",homeint_export
v675,Date of last replacement?,date,,homeint_export
v676,Metal plates/metal mesh/pins or rods?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]",homeint_export
v677,Location?,category,"[1.0, 2.0]",homeint_export
v678,Do you have a non-removable prothesis?,category,"[1.0, 2.0]",homeint_export
v679,Operation on brain?,category,"[1.0, 2.0]",homeint_export
v680,Ever had/currently have brain tumor?,category,"[1.0, 2.0, 3.0]",homeint_export
v681,Could you lie flat for an hour?,category,"[1.0, 2.0]",homeint_export
v682,Body piercings?,category,"[1.0, 2.0, 3.0]",homeint_export
v683,Can you walk 10 metres/yards?,category,"[1.0, 2.0]",homeint_export
v684,Do you use any medication patches/other patches?,category,"[1.0, 2.0]",homeint_export
v685,Can they be removed?,category,"[1.0, 2.0]",homeint_export
v686,Have dental braces/dentures?,category,"[1.0, 2.0]",homeint_export
v687,Can they be removed?,category,"[1.0, 2.0]",homeint_export
v688,Suffer from claustrophobia?,category,"[1.0, 2.0]",homeint_export
v689,Currently receive treatment/have bipolar disorder/schizophrenia/any psychotic di,category,"[1.0, 2.0]",homeint_export
v690,[If female] Are you pregnant/trying to become pregnant?,category,"[1.0, 2.0]",homeint_export
v691,"Have any tattoos, where?",category,"[1.0, 2.0, 3.0]",homeint_export
v692,Been diagnosed with dementia/Alzheimer's disease?,category,"[1.0, 2.0]",homeint_export
v693,Received treatment for drug abuse/currently using drugs?,category,"[1.0, 2.0, 7.0]",homeint_export
v694,Any surgery in last 8 weeks?,category,"[1.0, 2.0]",homeint_export
v695,Date of surgery,date,,homeint_export
v696,Head size OK?,category,"[1.0, 2.0, 3.0]",homeint_export
v697,Reaction to interview?,category,"[2.0, 3.0, 4.0]",homeint_export
v699,Reaction to interview?,category,"[3.0, 4.0]",homeint_export
v700,,string,,homeint_export
v701,Volunteer refusal?,category,"[1.0, 2.0]",homeint_export
v702,Consent for contact details?,category,"[1.0, 2.0]",homeint_export
v703,Consent for contact details?,category,"[1.0, 2.0, 9.0]",homeint_export
v704,Reaction to interview?,category,"[1.0, 2.0, 3.0, 4.0]",homeint_export
v706,Consent for informant details?,category,"[0.0, 1.0, 2.0, 9.0]",homeint_export
v707,Consent for contact details?,category,"[1.0, 2.0]",homeint_export
mmse_mis,,category,[0.0],homeint_export
recheck,,category,"[0.0, 1.0]",homeint_export
yearout,Difference between DOB and age,category,"[0.0, 1.0]",homeint_export
storyrecall_i,,numeric,0.0 to 99.0,homeint_export
storyrecall_d,,numeric,0.0 to 99.0,homeint_export
wordtest_p1,WordTest page1,numeric,0.0 to 99.0,homeint_export
wordtest_p2,WordTest page2,numeric,0.0 to 99.0,homeint_export
export,Data export number,numeric,1.0 to 49.0,homeint_export
dob,Dob of subject,date,,homeint_export
date_iv,Date of interview,date,,homeint_export
health_missed,Health questions Q349-Q353 not asked,category,"[0.0, 1.0, 999.0]",homeint_export
proxy,Data mapped from informant interview,category,[0.0],homeint_export
place,,category,"[0.0, 1.0, 7.0]",homeint_export
sevens_n,,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0]",homeint_export
mmse01,MMSE Question 1,category,"[0.0, 1.0]",homeint_export
mmse02,MMSE Question 2,category,"[0.0, 1.0]",homeint_export
mmse03,MMSE Question 3,category,"[0.0, 1.0]",homeint_export
mmse04,MMSE Question 4,category,"[0.0, 1.0]",homeint_export
mmse05,MMSE Question 5,category,"[0.0, 1.0]",homeint_export
mmse06,MMSE Question 6,category,"[0.0, 1.0]",homeint_export
mmse07,MMSE Question 7,category,"[0.0, 1.0]",homeint_export
mmse08,MMSE Question 8,category,"[0.0, 1.0]",homeint_export
mmse09,MMSE Question 9,category,"[0.0, 1.0]",homeint_export
mmse10,MMSE Question 10,category,"[0.0, 1.0]",homeint_export
mmse11,MMSE Question 11,category,"[0.0, 1.0]",homeint_export
mmse12,MMSE Question 12,category,"[0.0, 1.0]",homeint_export
mmse13,MMSE Question 13,category,"[0.0, 1.0]",homeint_export
mmse14,MMSE Question 14,category,"[0.0, 1.0]",homeint_export
mmse15,MMSE Question 15,category,"[0.0, 1.0]",homeint_export
mmse16,MMSE Question 16,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0]",homeint_export
mmse17,MMSE Question 17,category,"[0.0, 1.0]",homeint_export
mmse18,MMSE Question 18,category,"[0.0, 1.0]",homeint_export
mmse19,MMSE Question 19,category,"[0.0, 1.0]",homeint_export
mmse20,MMSE Question 20,category,"[0.0, 1.0]",homeint_export
mmse21,MMSE Question 21,category,"[0.0, 1.0]",homeint_export
mmse22,MMSE Question 22,category,"[0.0, 1.0]",homeint_export
mmse23,MMSE Question 23,category,"[0.0, 1.0]",homeint_export
mmse24,MMSE Question 24,category,"[0.0, 1.0]",homeint_export
mmse25,MMSE Question 25,category,"[0.0, 1.0]",homeint_export
mmse26,MMSE Question 26,category,"[0.0, 1.0]",homeint_export
mmse_cal,Re-calculated MMSE score post interview edits,numeric,11.0 to 30.0,homeint_export
mmse_gp,MMSE group,category,"[1.0, 2.0, 3.0, 4.0]",homeint_export
v556_edited,Q556 as seconds,numeric,0.0 to 99.0,homeint_export
v557_edited,Q557 as seconds,numeric,0.0 to 99.0,homeint_export
v562_edited,Q562 as seconds,string,,homeint_export
CCID,Participant ID,string,CC110019 to CC821090,scq_export
YA_date_questionnaire,Date questionnaire completed,date,,scq_export
YA_cse,YA: CSE,category,"[0.0, 1.0, 2.0]",scq_export
YA_cse_years,YA: CSE - Number of years,numeric,0.0 to 28.0,scq_export
YA_nvq1_bteci,YA: NVQ Level 1 / BTEC Introductory,category,"[0.0, 1.0, 2.0]",scq_export
YA_nvq1_bteci_years,YA: NVQ Level 1 / BTEC Introductory - Number of years,category,"[0.0, 0.5, 1.0, 2.0, 4.0, 5.0]",scq_export
YA_o_level_gcse_leaving,YA: O Level / GCSE / Leaving certificate,category,"[0.0, 1.0, 2.0]",scq_export
YA_o_level_gcse_leaving_years,YA: O Level / GCSE / Leaving certificate - Number of years,numeric,0.0 to 48.0,scq_export
YA_nvq2_btec1,YA: NVQ Level 2 / BTEC First Diploma,category,"[0.0, 1.0, 2.0]",scq_export
YA_nvq2_btec1_years,YA: NVQ Level 2 / BTEC First Diploma - Number of years,category,"[0.0, 1.0, 2.0, 3.0, 5.0, 12.0, 18.0]",scq_export
YA_a_level_ib,YA: A Level / Internation Baccalaureate,category,"[0.0, 1.0, 2.0]",scq_export
YA_a_level_ib_years,YA: A Level / Internation Baccalaureate - Number of years,numeric,0.0 to 46.0,scq_export
YA_nvq3_btecd,YA: NVQ Level 3 / BTEC Diploma,category,"[0.0, 1.0, 2.0]",scq_export
YA_nvq3_btecd_years,YA: NVQ Level 3 / BTEC Diploma - Number of years,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 18.0]",scq_export
YA_hnc_hnd_nvq4_btecp,YA: HNC / HND / NVQ Level 4 / BTEC Professional,category,"[0.0, 1.0, 2.0]",scq_export
YA_hnc_hnd_nvq4_btecp_years,YA: HNC / HND / NVQ Level 4 / BTEC Professional # yrs,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0, 18.0]",scq_export
YA_btec_ad,YA: BTEC Advanced,category,"[0.0, 1.0]",scq_export
YA_btec_ad_years,YA: BTEC Advanced - Number of years,category,"[0.0, 2.0]",scq_export
YA_col_dip,YA: College Diploma,category,"[0.0, 1.0, 2.0]",scq_export
YA_col_dip_years,YA: College Diploma - Number of years,numeric,0.0 to 44.0,scq_export
YA_undergrad,YA: University Ungergraduate,category,"[0.0, 1.0, 2.0]",scq_export
YA_undergrad_years,YA: University Ungergraduate - Number of years,numeric,0.0 to 43.0,scq_export
YA_masters,YA: University Masters,category,"[0.0, 1.0, 2.0]",scq_export
YA_masters_years,YA: University Masters - Number of years,numeric,0.0 to 35.0,scq_export
YA_phd_doc,YA: University PhD / Doctorate,category,"[0.0, 1.0, 2.0]",scq_export
YA_phd_doc_years,YA: University PhD / Doctorate - Number of years,numeric,0.0 to 28.0,scq_export
YA_cler_admin_book_course,"YA: Clerical, administrative or book-keeping course",category,"[0.0, 1.0, 2.0]",scq_export
YA_cler_admin_book_course_years,"YA: Clerical, administrative or book-keeping course # yrs",category,"[0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0]",scq_export
YA_business_course,YA: Business course,category,"[0.0, 0.5, 1.0, 2.0]",scq_export
YA_business_course_years,YA: Business course - Number of years,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 20.0, 21.0]",scq_export
YA_trade_appre,YA: Trade apprenticeship,category,"[0.0, 1.0, 2.0]",scq_export
YA_trade_appre_years,YA: Trade apprenticeship - Number of years,numeric,0.0 to 9.0,scq_export
YA_prof_other,YA: Other professional course (specify if studied),category,"[0.0, 1.0, 2.0]",scq_export
YA_prof_other_specify,YA: Other professional course (specify),string,,scq_export
YA_prof_other_years,YA: Other professional course - Number of years,numeric,0.0 to 40.0,scq_export
YA_technical,YA: Other technical course (specify if studied),category,"[0.0, 1.0, 2.0]",scq_export
YA_technical_specify,YA: Other technical course (specify),string,,scq_export
YA_technical_years,YA: Other technical course - Number of years,category,"[0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0]",scq_export
YA_graduate,YA: Other graduate course (specify if studied),category,"[0.0, 1.0, 2.0]",scq_export
YA_graduate_specify,YA: Other graduate course (specify),string,,scq_export
YA_graduate_years,YA: Other graduate course - Number of years,category,"[0.0, 1.0, 2.0, 2.5, 3.0, 4.0, 5.0]",scq_export
YA_other,YA: Any other course (specify if studied),category,"[0.0, 1.0, 2.0]",scq_export
YA_other_years,YA: Any other course - Number of years,numeric,0.0 to 29.0,scq_export
YA_comments_ya_training,,string,,scq_export
YA_uk_ireland,YA - Around the UK / Ireland away from where I lived,category,"[FALSE, TRUE, nan]",scq_export
YA_south_eur,YA - Southern Europe,category,"[FALSE, TRUE, nan]",scq_export
YA_north_afr_mid_east,YA - Northern Africa / Middle East,category,"[FALSE, TRUE, nan]",scq_export
YA_north_america,YA - North America,category,"[FALSE, TRUE, nan]",scq_export
YA_aust_nz_pac_antarc,YA - Australia / New Zealand / Pacific Islands / Antarctica,category,"[FALSE, TRUE, nan]",scq_export
YA_north_eur_scand,YA - Northern Europe / Scandinavia,category,"[FALSE, TRUE, nan]",scq_export
YA_east_eur,YA - Eastern Europe,category,"[FALSE, TRUE, nan]",scq_export
YA_south_afr,YA - Southern Africa / Asia,category,"[FALSE, TRUE, nan]",scq_export
YA_south_amer_cent_amer_carrib,YA - South America / Central America / Carribbean,category,"[FALSE, TRUE, nan]",scq_export
YA_none,YA - None of the above,category,"[FALSE, TRUE, nan]",scq_export
YA_comments_ya_travel,,string,,scq_export
YA_outing,"YA - Outing to see family member, friend or group of friends",category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
YA_instrument,YA - Practise or play a musical instrument,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
YA_art,YA - Practice or develop an artistic pastime,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
YA_mild_activ,YA - Mildly energetic activities,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
YA_mod_activ,YA - Moderately energetic activities,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
YA_vig_activ,YA - Vigorous energetic activities,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
YA_read,YA - Read (material or any sort),category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
YA_language,YA - Speak a second language,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
YA_games,YA - Computer games / games consoles,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
YA_internet,YA - Social networking / internet surfing,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
YA_crossword_sudoku,YA - Crossword puzzles / sudoku,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
YA_strategic_games,"YA - Strategic games (eg, chess)",category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
YA_prayer_relig,,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
YA_comments_ya_activities,Comments on activities,string,,scq_export
in_young_adulthood,,category,[1.0],scq_export
ML_date_questionnaire,Date questionnaire completed,date,,scq_export
ML_cse,M: CSE,category,"[0.0, 1.0, 2.0]",scq_export
ML_cse_years,M: CSE - Number of years,category,"[0.0, 1.0, 5.0]",scq_export
ML_nvq1_bteci,M: NVQ Level 1 / BTEC Introductory,category,"[0.0, 1.0, 2.0]",scq_export
ML_nvq1_bteci_years,M: NVQ Level 1 / BTEC Introductory - Number of years,category,"[0.0, 1.0]",scq_export
ML_o_level_gcse_leaving,M: O Level / GCSE / Leaving certificate,category,"[0.0, 1.0, 2.0]",scq_export
ML_o_level_gcse_leaving_years,M: O Level / GCSE / Leaving certificate - Number of years,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0]",scq_export
ML_nvq2_btec1,M: NVQ Level 2 / BTEC First Diploma,category,"[0.0, 1.0, 2.0]",scq_export
ML_nvq2_btec1_years,M: NVQ Level 2 / BTEC First Diploma - Number of years,category,"[0.0, 1.0, 1.5, 2.0, 5.0, 13.0]",scq_export
ML_a_level_ib,M: A Level / Internation Baccalaureate,category,"[0.0, 1.0, 2.0]",scq_export
ML_a_level_ib_years,M: A Level / Internation Baccalaureate - Number of years,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 8.0]",scq_export
ML_nvq3_btecd,M: NVQ Level 3 / BTEC Diploma,category,"[0.0, 1.0, 2.0]",scq_export
ML_nvq3_btecd_years,M: NVQ Level 3 / BTEC Diploma - Number of years,category,"[0.0, 1.0, 1.5, 2.0, 2.5, 4.0]",scq_export
ML_hnc_hnd_nvq4_btecp,M: HNC / HND / NVQ Level 4 / BTEC Professional,category,"[0.0, 1.0, 2.0]",scq_export
ML_hnc_hnd_nvq4_btecp_years,M: HNC / HND / NVQ Level 4 / BTEC Professional # yrs,category,"[0.0, 1.0, 2.0, 3.0, 5.0]",scq_export
ML_btec_ad,M: BTEC Advanced,category,"[0.0, 1.0, 2.0]",scq_export
ML_btec_ad_years,M: BTEC Advanced - Number of years,category,"[0.0, 1.0, 2.0]",scq_export
ML_col_dip,M: College Diploma,category,"[0.0, 1.0, 2.0]",scq_export
ML_col_dip_years,M: College Diploma - Number of years,category,"[0.0, 0.06, 1.0, 2.0, 3.0, 5.0]",scq_export
ML_undergrad,M: University Ungergraduate,category,"[0.0, 1.0, 2.0]",scq_export
ML_undergrad_years,M: University Ungergraduate - Number of years,category,"[0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]",scq_export
ML_masters,M: University Masters,category,"[0.0, 1.0, 2.0]",scq_export
ML_masters_years,M: University Masters - Number of years,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0]",scq_export
ML_phd_doc,M: University PhD / Doctorate,category,"[0.0, 1.0, 2.0]",scq_export
